"","word","n","question"
"1","card",7,"Question 5"
"2","credit",7,"Question 5"
"3","spend",5,"Question 5"
"4","account",4,"Question 5"
"5","expenses",4,"Question 5"
"6","buy",3,"Question 5"
"7","don’t",3,"Question 5"
"8","love",3,"Question 5"
"9","percentage",3,"Question 5"
"10","100",2,"Question 5"
"11","it’s",2,"Question 5"
"12","money",2,"Question 5"
"13","pay",2,"Question 5"
"14","traveling",2,"Question 5"
"15","yeah",2,"Question 5"
"16","13",1,"Question 5"
"17","150",1,"Question 5"
"18","200",1,"Question 5"
"19","400",1,"Question 5"
"20","500",1,"Question 5"
"21","8",1,"Question 5"
"22","absolutely",1,"Question 5"
"23","accounts",1,"Question 5"
"24","amount",1,"Question 5"
"25","apr",1,"Question 5"
"26","avel",1,"Question 5"
"27","beers",1,"Question 5"
"28","bills",1,"Question 5"
"29","bit",1,"Question 5"
"30","budget",1,"Question 5"
"31","clubs",1,"Question 5"
"32","consideration",1,"Question 5"
"33","constant",1,"Question 5"
"34","cool",1,"Question 5"
"35","depends",1,"Question 5"
"36","discounts",1,"Question 5"
"37","disney",1,"Question 5"
"38","entertainment",1,"Question 5"
"39","features",1,"Question 5"
"40","fense",1,"Question 5"
"41","fish",1,"Question 5"
"42","fund",1,"Question 5"
"43","future",1,"Question 5"
"44","girlfriend",1,"Question 5"
"45","gonna",1,"Question 5"
"46","habit",1,"Question 5"
"47","handles",1,"Question 5"
"48","helps",1,"Question 5"
"49","highly",1,"Question 5"
"50","hours",1,"Question 5"
"51","i’d",1,"Question 5"
"52","i’m",1,"Question 5"
"53","information",1,"Question 5"
"54","jason",1,"Question 5"
"55","ke",1,"Question 5"
"56","knowing",1,"Question 5"
"57","lot",1,"Question 5"
"58","main",1,"Question 5"
"59","managing",1,"Question 5"
"60","movies",1,"Question 5"
"61","nice",1,"Question 5"
"62","perfect",1,"Question 5"
"63","rse",1,"Question 5"
"64","save",1,"Question 5"
"65","sign",1,"Question 5"
"66","soups",1,"Question 5"
"67","strip",1,"Question 5"
"68","tax",1,"Question 5"
"69","tease",1,"Question 5"
"70","that’s",1,"Question 5"
"71","there’s",1,"Question 5"
"72","trust",1,"Question 5"
"73","unlimited",1,"Question 5"
"74","ve",1,"Question 5"
"75","visit",1,"Question 5"
"76","week",1,"Question 5"
"77","wonderful",1,"Question 5"
"78","world",1,"Question 5"
"79","you’ll",1,"Question 5"
"80","you’re",1,"Question 5"
